original_title,overview,genres,keywords,imdb_plot
"Good Luck Charlie, It's Christmas!","Teddy Duncan's middle-class family embarks on a road trip from their home in Denver to visit Mrs. Duncans Parents, the Blankenhoopers, in Palm Springs. When they find themselves stranded between Denver and Utah, they try to hitch a ride to Las Vegas with a seemingly normal older couple in a station wagon from Roswell, New Mexico. It turns out that the couple believes they are the victims of alien abduction. The Duncan's must resort to purchasing a clunker Yugo to get to Utah, have their luggage stolen in Las Vegas, and survive a zany Christmas with Grandpa and Grandma Blankenhooper.",Comedy Family,road trip woman director christmas ,Idiocy strikes when a woman and her daughter get separated from their family during the holidays.
Perry Mason: The Case of the Ruthless Reporter,"Perry is at TV station ""KGGY"" to be interviewed but thanks to the interference of main anchor-person Brett Huston the interview is pulled. Mostly everybody hates Brett as Brett knows all the station workers secrets. He has also written a memo insulting all of the main station players - Vic St. John - the station manager, Twyla Cooper - the producer, Chuck Gilmore - the sports reporter, Gary Slate - the weatherman, Cassie Woodfield - the reporter and Gillian Pope. Brett is shot dead with Gillian's gun and therefore is arrested for the crime. Gillian calls in Perry, Della and Ken to investigate. As Della and Perry set out to solve the mystery, Ken gets close to Cassie but she is a suspect and when it appears that somebody is trying to kill her, the mystery deepens..",Drama Thriller,based on novel or book private investigator courtroom perry mason ,"Perry is at TV station ""KGGY"" to be interviewed but thanks to the interference of main anchor-person Brett Huston the interview is pulled. Mostly everybody hates Brett as Brett knows all the station workers secrets. He has also written a memo insulting all of the main station pla... Read all"
Je suis Femen,"Oxana is a woman, a fighter, an artist. As a teenager, her passion for iconography almost inspires her to join a convent, but in the end she decides to devote her talents to the Femen movement. With Anna, Inna and Sasha, she founds the famous feminist group which protests against the regime and which will see her leave her homeland, Ukraine, and travel all over Europe. Driven by a creative zeal and a desire to change the world, Oxana allows us a glimpse into her world and her personality, which is as unassuming, mesmerising and vibrant as her passionate artworks.",Documentary,demonstration feminism human rights activism ,"A revealing look at FEMEN- the topless female activists who fight corrupt and patriarchal political systems in Kiev and all across Europe- as well as a portrait of the group's creative backbone, the bewitching Oksana Shachko."
Dexter's Laboratory: Ego Trip,"After Dexter is confronted with robots who wish to ""destroy the one who saved the future,"" he uses his time machine to see how he saved it. They declare that they are here to destroy the one who saved the future, and make ready to attack Dexter. Dexter easily destroys them with the use of various tools and gadgets from his lab. However, news that he is ""The One Who Saved the Future"" intrigues him, and he decides to travel through time to discover how cool he is. In the first time period he visits, Dexter finds a tall, skinny, weak version of himself working in office-designing cubicles, with Mandark as his rich, successful boss. The child Dexter unwittingly reveals the existence of blueprints regarding the ""Neurotomic Protocore"", and Mandark steals it after the two Dexters move forward in time.",Animation Comedy Family Science-Fiction,laboratory robot boy genius based on tv series ,"After Dexter is confronted with robots who wish to ""destroy the one who saved the future,"" he uses his time machine to see how he saved it."
Scary Godmother: Halloween Spooktakular,"The Scary Godmother Halloween Spooktakular is based on the comics and children's books of popular artist and writer Jill Thompson. Jill has won numerous awards for her fabulous watercolour paintings and illustrations. Scary Godmother is the whimsical all-ages story that follows the first trick-or-treating adventure of Hannah Marie, a young girl whose rotten older cousin is babysitting her one dark Halloween. Unhappy to be saddled with Hannah, her cousin cooks up a scheme to frighten her. But his scheme backfires when Hannah gets help from her Scary Godmother. Scary Godmother takes Hannah to her realm on the Fright Side where she is throwing the best Halloween party in all of frightdom. At the party Hannah is introduced to many colourful characters, learns that not all monsters are mean and enlists her new spooky friends in a plan to teach Jimmy a lesson.",Animation Family Comedy,,The Scary Godmother Halloween Spooktakular is based on the comics and children's books of popular artist and writer Jill Thompson. Jill has won numerous awards for her fabulous watercolour paintings and illustrations. Scary Godmother is the whimsical all-ages story that follows t... Read all
Perry Mason: The Case of the Glass Coffin,"David Katz is a world famous magician and he comes to Denver with his group to perform for a charity gala for disabled children. Also there is Perry and Della as all three are supporters of the charity. Kate Ford, an assistant with an arrogant attitude, tells David that she is, from now on, going to do an illusion in which an assistant is raised in a glass coffin only to disappear when the coffin is opened up in the air (while the assistant climbs out before the coffin is raised.) After a one night stand with David, Kate is pregnant and she blackmails David with this. David and his wife Judy can't have children so that comes as a double blow to them. However Kate, with her attitude, creates much hatred at her from the rest of the group. At the gala, the glass coffin is raised but when it opens Kate's dead body falls to the ground - strangled.",Drama Thriller Crime,based on novel or book perry mason ,"David Katz is a world famous magician and he comes to Denver with his group to perform for a charity gala for disabled children. Also there is Perry and Della as all three are supporters of the charity. Kate Ford, an assistant with an arrogant attitude, tells David that she is, f... Read all"
Swept Under,"Meet Morgan. At first glance, she's just your average cleaning lady. She has no problem getting her hands dirty, which is a good thing considering it's not fancy houses she cleans for a living - it's gruesome crime scenes. It's at one of these scenes that Morgan discovers a key piece of evidence overlooked by the forensics team. This, and her knack for reading blood splatter, catch Nick's attention, a newbie detective working the case. The pair soon become unofficial partners on what's become a stream of related murders and the closer they get to solving the mystery the closer they get to each other. But while they succeed in getting a confession from their primary suspect, their feelings for each other risk blinding them to the truth and they find themselves dangerously close to the real killer.",Thriller Drama Crime,blood splatter murder police detective forensic murder investigation ,"On a routine job, crime-scene cleaner Morgan Sher (Devin Kelly) discovers evidence has been left behind. With the help of newbie detective Nick (Aaron Ashmore), she rushes to search for a killer's identity."
Don't Blink: Robert Frank,"The life and work of Robert Frank—as a photographer and a filmmaker—are so intertwined that they're one in the same, and the vast amount of territory he's covered, from The Americans in 1958 up to the present, is intimately registered in his now-formidable body of artistic gestures. From the early '90s on, Frank has been making his films and videos with the brilliant editor Laura Israel, who has helped him to keep things homemade and preserve the illuminating spark of first contact between camera and people/places. Don't Blink is Israel's like-minded portrait of her friend and collaborator, a lively rummage sale of images and sounds and recollected passages and unfathomable losses and friendships that leaves us a fast and fleeting imprint of the life of the Swiss-born man who reinvented himself the American way, and is still standing on ground of his own making at the age of 90.",Documentary,woman director photgraphy ,"Robert Frank revolutionized photography and independent film. He documented the Beats, Welsh coal miners, Peruvian Indians, The Stones, London bankers, and the Americans. This is the bumpy ride, revealed with unblinking honesty by the reclusive artist himself."
Of Two Minds,"Of Two Minds explores the extraordinary lives, struggles and successes of three unique and compelling people living with bipolar disorder in America today. Through a combination of intimate verité and revealing interviews, we experience what it feels like to be bipolar - from exquisite feelings of grandiosity and sensuality to the depths of despair and depression. A journey from the painful to the painfully funny, Of Two Minds puts a human face on the illness, opening an engaging, harrowing and perception-changing view on those all around us who live in bipolar's shadows...our sisters and brothers, parents and friends, and ourselves.",Documentary,woman director ,"Of Two Minds explores the extraordinary lives, struggles and successes of three unique and compelling people living with bipolar disorder in America today. Through a combination of intimate verité and revealing interviews, we experience what it feels like to be bipolar - from exq... Read all"
Mothers of Men,"Dorothy Davenport as Clara Madison, a prominent lawyer, wins a judgeship over fellow Attorney Grant Williams, played by Willis L. Robards. Upon winning the prominent position as judge, Ms. Madison finds herself walking a political tight rope with enemies all around doing what they can to cause her down fall.  Judge Madison convicts a murderer to death paving the way for her to be easily elected as the first female Governor.  As Governor she is faced with a difficult dilemma. She has the power to pardon her husband who has been convicted of a serious crime, but to do so she’d be using her office for her own personal gain. “I must find some way to realize my ideals without sacrificing my husband. I must struggle on somehow for the sake of womanhood!”",Drama,sabotage ,"A melodrama about a woman governor whose husband is accused and convicted of a bombing and the dilemma she has to struggle with --- whether to let the law take its course and the pressures put on her by family, friends and political pundits."
The Hollow,"When a U.S. congressman's daughter passing through a small town in Mississippi dies in a mysterious triple homicide, a team of F.B.I. agents descends to investigate, the team's brilliant but jaded lead agent battling demons both past and present, as his beautiful, tough-as-nails partner tries to hold him and the case together. They find a struggling and corrupt sheriff's department, a shadowy and much-feared figure, who seems to be pulling all of the town's strings from his mansion on the edge of town and a local victim with a strange connection to a number of the town's most prominent figures.",Crime Drama Mystery Thriller,corruption mississippi river small town fbi murder ,"When a U.S. congressman's daughter passing through a small town in Mississippi dies in a mysterious triple homicide, a team of F.B.I. agents descends to investigate, the team's brilliant but jaded lead agent battling demons both past and present, as his beautiful, tough-as-nails ... Read all"
Wizard Mode,"Mastering classic pinball arcade games requires focus, agility and dedication. Robert Gagno has all these traits. It might explain why he surged from a complete unknown to one of the world's best players in five years. The achievement is even more impressive considering he was diagnosed with autism at age three. His success on the pinball circuit made him part of a community that provided acceptance and encouragement. With his parents' support and determination, Robert has exceeded every expectation placed upon him. As he approaches adulthood, his next challenge is to become more self-sufficient and gain his independence. From high-stakes tournaments across the continent to his day-to-day search for employment, we follow Robert's persistent progression to overcome obstacles and manage the highs of success and lows of falling short. In Wizard Mode, flashing lights and triple combos highlight an outstanding individual who continues to beat the odds and set records.",Documentary,autism biography pinball ,"The life of Robert Gagno, an autistic pinball player."
How Videogames Changed the World,"From Pong to Grand Theft Auto, Charlie Brooker delves into the history of videogames and pulls out a selection of its most significant titles.  From Atari to Angry Birds, How Videogames Changed the World explores how interactive entertainment evolved from a penny arcade diversion into a medium that some believe is art, and shows how it is changing the way we work, communicate and, of course, play.  Joined by Jonathan Ross, Dara O'Briain and gaming legends like Will Wright and John Romero, Brooker looks at how videogames have become the most progressive art form of the last 40 years.  This humorous and insightful tour will surprise and entertain the uninitiated and dedicated gamers alike.",Documentary,video game ,Charlie Brooker takes you on a journey through time to show the most influential video games on everyday life.
The Phantom,"Two expeditions are trying to reach the Lost City of Zoloz -- one headed by Professor Davidson, a scientist who wants to establish an archaeological site, and the other by a greedy treasure hunter who wants to keep the fabled treasures of the city for himself. An agent of a foreign power also wants to establish a secret airbase there, so he stirs up the natives against The Phantom, who has been able to get them to stay peaceful so far. When The Phantom is murdered, his son takes his place and sets out to restore peace to the jungle and stop the agents' and the treasure hunters' nefarious plans.",Action,,"Professor Davidson and his niece Diana Palmer search Africa for the Lost City of Zoloz, reputed to be the source of a large hidden treasure. Also searching is a local crook, Singapore Smith, and Dr. Max Bremmer, who plans to destroy the peace in which the native tribes have been ... Read all"
Them Idiots: Whirled Tour,"You loved them on the Blue Collar Comedy Tour and now Bill Engvall, Jeff Foxworthy and Larry The Cable Guy have reunited for an all-new comedy special. Filmed live in front of more than 11,000 fans at the Consol Energy Center in Pittsburgh, ""Them Idiots Whirled Tour"" features the signature humor of three of the most successful comedians in history. From jury duty to family weddings; colonoscopies to the McRib(TM), nothing is off limits in this all new stand-up special. It also includes a brand new encore with the three guys trying to make each other laugh, as only they know how.",Comedy,stand-up comedy redneck ,"You loved them on the Blue Collar Comedy Tour and now Bill Engvall, Jeff Foxworthy, and Larry the Cable Guy have reunited for an all-new comedy special. Filmed live in front of more than eleven thousand fans at the Consol Energy Center in Pittsburgh, Them Idiots Whirled Tour feat... Read all"
Tulips in Spring,"At Payden Farms, Rose meets Tom Novak — a handsome “flower broker” who acts as a liaison between the farm and local distributors — and discovers that the farm is faltering financially and that her parents are considering selling it to a ruthless competitor. As a last-ditch effort, Tom arranges for Frank to enter his most special tulip in an upcoming flower contest with the hopes of achieving national recognition and generating business. But when Frank’s flowers are mysteriously sabotaged, Rose struggles to find a way to get them to bloom in time for the competition. Along the way, she finds herself appreciating her humble beginnings, reconciling with Frank, and falling into a blossoming romance with Tom. With time running out, Rose must rediscover her green thumb to save her family’s farm, and decide whether she’ll find true happiness — and true love — by staying in Los Angeles or returning to her folksy hometown.",Drama  Romance,farm spring love family tulips interior design ,An interior designer must halt her work on a big project in order to return home and assist her injured father at her family's tulip farm in rural Washington state.
Christmas Land,"Jules has just inherited a quaint Christmas tree farm bequeathed her by her grandmother. This is good news, since she plans to sell it and use the profits to buy her dream home in the city. The farm needs a bit of sprucing up, but Jules is a natural fixer so she’ll have it cleaned up in no time to impress buyers and be out by Christmas. But the longer Jules stays on the farm and the more she learns how important Christmas Land has been to so many families, the more Jules starts to question her motives to sell.  And when the perfect buyer turns out to have ulterior motives for the farm, Jules must do whatever it takes to save Christmas Land.",Family,last will and testament christmas tree farm and lot hallmark ,"After inheriting a Christmas tree farm, a woman's plans to sell it change when she falls in love with the townspeople and meets a charming lawyer named Tucker."
A Christmas Wish,"MARTHA EVANS has been abandoned by her ne'er-do-well husband, who took all their cash and left her homeless and virtually destitute with her two daughters and stepson. Martha leaves town in hopes of finding a job and a place to stay, she finally finds a job at a sleepy rural diner, formerly famous for its home-made root beer. But with her car broken down and the bills piling up, it looks like it's going to be a bleak Christmas for the Evans family. However, there are warm hearts working behind the scenes that ultimately make this the happiest holiday of Martha's life -- a real answer to her prayers",Family Drama Comedy,prayer bullying single mother car trouble holiday season christmas ,"Abandoned by her husband a few days before Christmas, Martha Evans travels cross-country with the kids in search of work."
Christmas Angel,"Ashley has been on her own all her life. She feels even more alone this Christmas as she searches fruitlessly for a job. The seasonal cheer around her only rubs salt in her wounds as she scrapes by to support herself and her dog, Dash. But her neighbor, Nick, knows exactly what to do. He offers her a job, to be his assistant in the best work-helping others. There's one catch that Ashley must honor though-she can't tell anyone that her new boss is a sort of Secret Santa, helping others anonymously. Through her new job, Ashley meets Will, a writer for a business magazine who uncovers what Ashley is doing, and more importantly, Nick's involvement. As Ashley and Nick help people in need, Ashley tries to protect Nick's secret, and her own heart, while Will must weigh the consequences of what he does.",Comedy Drama Romance,holiday journalist christmas secret santa ,Ashley feels alone at Christmas as she searches for a job. Her neighbor Nick offers her a job as his assistant in the best work: helping others. There's one catch she can't tell anyone that her new boss is a sort of Secret Santa.
The Good Witch's Garden,"Middleton prepares for its bicentennial, and Grey House is to be the party venue. Good witch Cassie is remodeling it as B&amp;B. her first and only guest, Nick Chasen, claims to be a distant relative. He produces papers to prove he's the heir of the builder, colonial era captain Hamblin, while the Grey lady was his mistress and stole it. Police chief and lover Jake Russell goes all the way to motivate her to fight and disprove the claim before she's effectively disowned. Brandon is dared to pass a rascals-initiation by local brat Steve and Duke. George's gardening skills lead to romance.",Comedy Family Fantasy Romance,,"Middleton prepares for its bicentennial, and Grey House is to be the party venue. Good witch Cassie is remodeling it as B&B. her first and only guest, Nick Chasen, claims to be a distant relative. He produces papers to prove he's the heir of the builder, colonial era captain Hamb... Read all"
Advance & Retreat,"Life is good for marketing professional Allison, she’s well on her way to earning a stellar promotion all while dating equally successful co-worker Bryce. Her biggest rival for the position, Vanessa, has the boss’ eye, but Allison has a plan. To win the promotion, she needs to impress her boss, Nathan, at their annual company retreat. Of course, she has a head start since she used to be a camp counselor. The only caveat, this year’s trip happens to be the site of Allison’s first heartbreak: her old camp. And who should still be working there but the handsome as ever ex-boyfriend who broke that teenage heart, Cody. But was it all a misunderstanding? Allison’s tasked with navigating not only the obstacle course but her relationships…past and present.",Romance,summer camp ,"After she reconnects with an old flame at a corporate retreat, an ambitious executive realizes that taking a step back may help her make a leap forward."
Sleigh Bells Ring,"”Laurel (Cahill) is in charge of her hometown’s Christmas parade, and with budget cuts, she’s having trouble making it a special event this year and, after a recent divorce, getting into the holiday spirit. When she and her daughter Scarlett cross paths with a lone farmer who has a sleigh that he claims came from Santa crash-landing on his property years ago, they are both skeptical. But the sleigh would make a great addition to the parade if it could be restored. When the farmer gives Laurel the sleigh for the parade, her ‘luck’ slowly changes. It’s almost as if the sleigh is leading her to all the right pieces she needs to make the parade a success, including meeting a handsome man from town who has the loving touch to restore the relic. Laurel is converted into a true believer and rekindles that holiday spirit with her daughter, especially when she realizes the real Santa is riding his lost sleigh in the Christmas parade.",Romance,divorced woman hometown christmas christmas parade hallmark ,"A busy single mother begins organizing her city's Christmas parade. While prop hunting, she finds a beautiful sleigh that seems to have a mind of its own, and it begins nudging her back to an old flame."
Perry Mason: The Case of the Telltale Talk Show Host,"Dr Sheila Carlin is good friends with Della who calls Perry in when she is being pestered by someone. On the theory that it could be somebody that she works with at a radio stations she arranges Perry to be interviewed by Winslow Keene who is also the station's owner. Winslow enrages the rest of the talk show hosts on the station by informing them of changes that he is making to their time slots. That night, Winslow is shot by a hit man hired by someone at the station and Sheila is set up for the murder. She calls in Perry and as usual Perry, Della and Ken swing into action to find out who really did it.",Drama,detective based on novel or book murder courtroom ,Dr Sheila Carlin is good friends with Della who calls Perry in when she is being pestered by someone. On the theory that it could be somebody that she works with at a radio stations she arranges Perry to be interviewed by Winslow Keene who is also the station's owner. Winslow enr... Read all
Perry Mason: The Case of the Wicked Wives,"Anthony Caruso, an old friend of Perry Mason, comes to Denver on the request of Dee Morrison. She's married to famed photographer David Morrison, who wants to shoot a photo featuring his former models. The tricky thing is that all of his former models are also his former wives. But Dee knows Anthony can convince them to do it which he does. And David shoots them. Later Dee catches David it what appears to be in an inappropriate situation with his assistant. They have an argument and she leaves. Later David is found dead and she's arrested and Anthony defends her. And he suspects it could have been one of the wives",Drama Thriller,based on novel or book perry mason ,"Anthony Caruso, an old friend of Perry Mason, comes to Denver on the request of Dee Morrison. She's married to famed photographer David Morrison, who wants to shoot a photo featuring his former models. The tricky thing is that all of his former models are also his former wives. B... Read all"
Sold,"Lakshmi is a thirteen-year-old girl who lives with her family in a small hut on a mountain in Nepal. When the Himalayan monsoons wash away all that remains of the family's crops, Lakshmi's father says she must leave home and take a job to support her family. He introduces her to a glamorous stranger who tells her she will find her a job as a maid in the city. Glad to be able to help, Lakshmi journeys to India and arrives at ""Happiness House"" full of hope. But she soon learns the unthinkable truth: she has been sold into prostitution...",Drama,nepal based on novel or book india sex trafficking child prostitution whale rider ,A girl risks everything for freedom after being trafficked from her mountain village in Nepal to a brothel in India.
Promise,"Promise, the most honored movie in television history, is a deeply moving story of family love and loyalty. Bob (James Garner) returns home for his mother’s funeral knowing that he must fulfill a promise made 30 years earlier—to care for his younger brother D.J. (James Woods), who is schizophrenic. When Bob eventually takes over responsibility for his younger brother’s well-being, he embarks upon the most difficult challenge of his life. Following its premiere in 1986, Promise won virtually every award a television program can win, including five Emmys® (Best Actor, Best Special, Best Direction, Best Teleplay, Best Writing), two Golden Globes®, a Peabody Award, a Christopher Award, the Humanitas Prize and several other honors. The movie remains an enduring favorite in the Hallmark Hall of Fame’s library of films.",Drama Family,schizophrenia ,"When his mother dies, Bob not only inherits her house, but also the custody of his younger brother, who suffers from schizophrenia and epilepsy. At the age of 21, Bob promised to look after his brother. Although he has barely seen him in the many years since then and strives agai... Read all"
Every Second Counts,"Every Second Counts takes an inside look at the CrossFit culture and community, where time on a stopwatch reigns as the supreme measure of performance. Those who reach the elite ranks in the burgeoning sport of CrossFit push themselves beyond limitations imposed by the mind and flirt with the limits of physical capacity. Human perseverance has never voluntarily gone this far.  The film chronicles the dramatic journey of five athletes as they prepare for and compete in the most comprehensive test of fitness on the planet, the CrossFit Games. The road to this grueling two-day program of extreme challenges reveals what it takes to be the best in the world. The climactic finish, with its surprising turn of events, shows beyond any doubt that the winner of the CrossFit Games is the fittest person on earth.",Drama Documentary Family,,"Every second counts takes an inside look at the Crossfit culture and community, where time on a stopwatch reigns as the supreme measure of performance. Those who reach the elite ranks in the burgeoning sport of CrossFit push themselves beyond the limitations imposed by the mind a... Read all"
Saturn 3,"In the future, Earth is overcrowded and the population relies on distant bases to be fed. In the Saturn 3 station, Major Adam and the scientist Alex, who is also his lover and has never been on Earth, have been researching hydroponics for three years in the base alone with their dog Sally. Meanwhile, the psychotic Captain Benson fails the mental test required to travel to Saturn 3 and kills his replacement, Captain James, taking his place in the mission of assembling and programming the Demi-God series robot Hector to replace one of the scientists in Saturn 3. On the arrival, the mentally disturbed Captain Benson becomes sexually obsessed for Alex. Then he uses an interface to link his brain to program Hector, but incapable to control his emotions, he transfers his homicidal tendency and insanity to Hector. Now Major Adam and Alex are trapped in the station with a dangerous psychopath robot.",Science-Fiction Thriller,moon chess tattoo cyborg killer robot spacecraft space travel saturn murder rampage transhumanism robot scientist drugs space station dismemberment hydroponics ,Two lovers stationed at a remote base in the asteroid fields of Saturn are intruded upon by a retentive technocrat from Earth and his charge: a malevolent eight foot robot.
Lake Consequence,"Irene, a thirty-something housewife with a successfull husband and a young son, has her life thrown in a spin when she becomes attracted to Billy, a member of a landscape crew outside her house. When Irene's husband and son leave for a weekend fishing trip, Irene wanting to see Billy, gets locked in the back of his trailer and ends up at remote Lake Consequence with Billy and his girlfriend Grace where they take Irene on a trip into the nearby town to a Chinese New Year Festival, and through a series of adventures they bring out the repressed sexual needs Irene has been holding inside for a long time.",Drama Romance,adultery infidelity midlife crisis menage a trois vagabond love affair ,"Irene, a thirty-something housewife with a successful husband and a young son, has her life thrown in a spin when she becomes attracted to Billy, a member of a landscape crew outside her house. When Irene's husband and son leave for a weekend fishing trip, Irene wanting to see Bi... Read all"
Les Patterson Saves the World,Fat middle aged 24/7 drunkard Les Patterson represents Australia at the UN where his fart literally incinerates an Arab ambassador. Patterson is reassigned to the Middle East so he can be tortured to death by the country he insulted. Patterson's arrival is the prefect distract of a coup and he is spared. At a bar Patterson meets a bio weapons scientist who's developed a horrific disease for the KGB whom plan to distribute it to the Pentagon via toilet seats. Patterson of course is far too drunk to understand anything happening and teams up with Dane Edna to save the world.,Comedy,middle east ambassador scientist toilet seat ,Fat middle aged 24/7 drunkard Les Patterson (Barry Humphries) represents Australia at the UN where his fart literally incinerates an Arab ambassador. Patterson is reassigned to the Middle East so he can be tortured to death by the country he insulted. Patterson's arrival disrupts... Read all
Ucieczka z kina 'Wolność',"The film is set just before Poland's communist regime came to an end, and the central character is a provincial censor (Janusz Gajos), a tired, sloppy, lonely man, whose wife has long since left him. For him, censorship is both an art and a game, but he does not enjoy it. During a screening of a sentimental Polish melodrama called ""Daybreak"" at the Liberty cinema across the road from the censor's office, the actors start to rebel and refuse to speak their lines. There is anarchy and when the censor is unable to control the situation, senior party officials are called in. Eventually a film critic notes that the situation reminds of ""The Purple Rose of Cairo"" by Woody Allen and brings a reel of the film to demonstrate. The officials watch the film with amusement until another mix-up occurs: the second projector is turned on accidentally and superimposes ""Daybreak"" over ""Purple Rose"".",Drama,communism censorship ,"During the screening of the film ""Daybreak"" at the Liberty Cinema, movie characters suddenly come alive and begin to talk to the viewers. The situation surprises communist authorities who send a censor to the theatre."
The River Thief,"Diz (Joel Courtney) is a reckless teenage drifter living life on the run. Abandoned by his parents as a child, he looks out for himself and doesn't accept handouts. He takes whatever he wants and runs. Jaded and determined to answer to no one, Diz lives a life marked by thievery and abandonment. Things change for Diz when he floats into a small town on the Snake River. There he is confronted by an unflappable old man named Marty and falls for Marty's guarded granddaughter, Selah. When Diz robs a local drug-dealing crazy, he becomes the owner of a giant pile of cash and the target of two vicious killers. With more money than he knows what to do with, and criminals at his heels, Diz puts the people he's learned to care about in danger, still trying to win Selah. But some things can't be stolen or bought. The River Thief is a film about guilt, self-sacrifice, and accepting life as a gift.",Crime Action Adventure,,"A reckless teenage drifter robs a local drug-dealer, he becomes the owner of a giant pile of cash and the target of two vicious killers."
El crítico,"Tellez is a strict and prestigious film critic, totally weary of Hollywood romantic comedies and certain that the best of the seventh art died long time ago. Maybe because of its work, suffers from what he calls the ‘maladie du cinema’: He sees the world like if it was a big movie that, in addition, he cannot keep from criticizing. While searching for his new apartment, he unexpectedly meets Sofia, a young and attractive woman that has very little to do with his good taste. ‘Elemental, constructed on a basis of cliches’ he would describe her. Movements of random bring them together over and over again, in strangely idyllic situations. Tellez attempts to escape from a staging that he loathes, but suspects that the movie genre that he hates the most is taking its revenge.",Drama Comedy Foreign,argentina critic film critic ,A prestigious film critic who has lost faith in the art form sparks with a young woman whose tastes run opposite of his.
The Captive,"Cecil B. DeMille’s thought-to-be-lost 1915 silent film The Captive, is a found treasure. Set during the Balkan Wars, The Captive tells the story of Sonia (Blanche Sweet, The Woman in White), a young woman living in Montenegro and left to care for her younger brother Milos (Gerald Ward, The Warrens of Virginia) and the family farm when older brother Marko (Page Peters, Davy Crockett) goes off to battle. Unable to handle the day-to-day tasks following her brother’s tragic death, help comes in the form of Mahmud Hassan (House Peters, Prisoners of the Storm) a captured Turk nobleman now a prisoner of war. Tasked with helping Sonia, their initial frosty relationship soon melts into love. As the war rages on Sonia, Mahmud and Milos will face near-insurmountable obstacles in their quest for a better life amidst the hell of war.",War Drama Romance,,"With her brother killed Sonya is given Turkish captive Mahmud to do the hard work on the farm. After they become fond of each other he strikes a Turkish officer. When peace arrives, his blow costs him his noble lands. She is burned out of her house. They meet again on the road wi... Read all"
Au cœur du mensonge,"In a small Breton town, a 10-year-old girl is found murdered. René, her art teacher, a professional painter, is the last person to have seen her alive. The inspector in charge of the investigation immediately questions him. In this small provincial town where people all know each other and regularly meet at the Bar des Amis, René is increasingly unsettled by the other inhabitants' suspicions and by the inspector's investigation. Children stop coming to him for lessons. His wife, Viviane, a district nurse, protects him and supports him with her love. However, a self-centred media-star writer adds to René's confusion...",Mystery Drama Crime,child murder ,"In a small Breton town, a 10-year-old girl is found murdered. René, her art teacher, a professional painter, is the last person to have seen her alive. The inspector in charge of the investigation immediately questions him. In this small provincial town where people all know each... Read all"
Maalik,The story of Maalik has four principal tracks. A family that escapes from the ravages of the Soviet war in Afghanistan and its fallout on the bordering villages of Pakistan to settle in Karachi. A SSG officer who undergoes a personal tragedy and starts a private security company (Black Ops Pvt. Ltd) in Karachi. His SSG colleagues keep joining the company on their retirements. An idealist school master who suffers greatly under a cruel Feudal lord and settles in Karachi and finally the Feudal Lord who becomes the Chief Minister and unleashes a reign of terror on all that cross his path.,Action Drama,rape politics maalik ,A man of Pakistan's Elite Special Forces whose life gets entangled with Politics. They soon realize that serving the nation is more complicated than simple following of orders.
The Primary Instinct,"Actor Stephen Tobolowsky has acted in over 200 TV shows and films over the past 40 years, possessing one of the most dazzlingly diverse filmographies on the planet. But even more compelling than the stories he's been apart of onscreen are those he tells offscreen. In 'The Primary Instinct,' Stephen plays himself and uses the art of storytelling to take the audience through a riveting and moving journey about life, love, and Hollywood. Along the way, he just may answer one of the questions that's dogged humanity since the beginning of time: Why do we tell stories in the first place?",Drama Documentary,storytelling ,"Actor Stephen Tobolowsky has acted in over 200 TV shows and films over the past 40 years, possessing one of the most dazzlingly diverse filmographies on the planet. But even more compelling than the stories he's been a part of onscreen are those he tells offscreen. In 'The Primar... Read all"
Ghostland: The View of the Ju'Hoansi,Remember the culture clash in THE GODS MUST BE CRAZY? This time it's real. One of the most ancient cultures on our planet is undergoing a major change. The Ju/Hoansi Bushmen in Namibia are not allowed to hunt anymore and need to converge with our so called “civilized” lifestyle. For the first time the Ju/Hoansi Bushmen travel through the Kalahari and then right into the heart of Europe. What starts as a look at their fascinating culture becomes an even more fascinating look at our Western lifestyle. A warm and humorous reflection of our habits through the eyes of people who are about to give up their million year old traditions.,Documentary,africa frankfurt am main namibia road movie ethnographical indigenous peoples ethnographic film ,"Remember the culture clash in THE GODS MUST BE CRAZY? This time it's real. One of the most ancient cultures on our planet is undergoing a major change. The Ju/Hoansi Bushmen in Namibia are not allowed to hunt anymore and need to converge with our so called ""civilized"" lifestyle. ... Read all"
Lost & Found,"Sent to spend the summer with their uncle on a remote island, young brothers Andy and Mark learn that their eccentric grandfather once owned the island, but vanished without a trace…taking with him the secret to a vast fortune.  Delving into the mysterious past of the island, the brothers discover that their grandfather designed a complex treasure hunt, a hunt that could lead to unimaginable wealth and heal their broken family – if they can find it in time.  Sinister forces also search for the money and will stop at nothing to keep the boys from their quest.  As the adventure unfolds, the boys learn that the bonds of family are the most valuable riches of all, and that some family secrets can’t stay buried forever.",Adventure Family Mystery,underground treasure island treasure hunt summer ,"Sent to spend the summer on a remote and mysterious island, brothers embark on a thrilling treasure hunt to restore their family's lost fortune."
